order_number,quantity_ordered,price_each,order_line_number,sales,order_date,status,qtr_id,month_id,year_id,product_line,msrp,product_code,customer_name,phone,addresss_line1,addresss_line2,city,state,postal_code,country,territory,contact_last_name,contact_first_name,deal_size,week_day,month
10107,30,95.700000000000003,2,2871,2003-02-24,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small,Monday,February
10121,34,81.349999999999994,5,2765.9000000000001,2003-05-07,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,Wednesday,May
10134,41,94.739999999999995,2,3884.3400000000001,2003-07-01,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,Tuesday,July
10145,45,83.260000000000005,6,3746.6999999999998,2003-08-25,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,Monday,August
10159,49,100,14,5205.2700000000004,2003-10-10,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,Friday,October
10168,36,96.659999999999997,1,3479.7600000000002,2003-10-28,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Tuesday,October
10180,29,86.129999999999995,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,184 chausse de Tournai,,Lille,,59000,France,EMEA,Rance,Martine,Small,Tuesday,November
10188,48,100,1,5512.3199999999997,2003-11-18,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,Drammen 121 PR 744 Sentrum,,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,Tuesday,November
10201,22,98.569999999999993,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small,Monday,December
10211,41,100,14,4708.4399999999996,2004-01-15,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,25 rue Lauriston,,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,Thursday,January
10223,37,100,1,3965.6599999999999,2004-02-20,Shipped,1,2,2004,Motorcycles,95,S10_1678,Australian Collectors Co.,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Friday,February
10237,23,100,7,2333.1199999999999,2004-04-05,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small,Monday,April
10251,28,100,2,3188.6399999999999,2004-05-18,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium,Tuesday,May
10263,34,100,2,3676.7600000000002,2004-06-28,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,Monday,June
10275,45,92.829999999999998,1,4177.3500000000004,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,67 rue des Cinquante Otages,,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,Friday,July
10285,36,100,6,4099.6800000000003,2004-08-27,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,Friday,August
10299,23,100,9,2597.3899999999999,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,Toys of Finland Co.,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,Thursday,September
10309,41,100,5,4394.3800000000001,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Friday,October
10318,46,94.739999999999995,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,Tuesday,November
10329,42,100,1,4396.1400000000003,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Monday,November
10341,41,100,9,7737.9300000000003,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,Wednesday,November
10361,20,72.549999999999997,13,1451,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,Monitor Money Building 815 Pacific Hwy,Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,Friday,December
10375,21,34.909999999999997,12,733.11000000000001,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,67 rue des Cinquante Otages,,Nantes,,44000,France,EMEA,Labrune,Janine,Small,Thursday,February
